"Short Form Termination Date","Short Form Date","Short Form Last Name","Short Form First Name","Registration Number","Registration Date","Registrant Name","Address 1","Address 2","City","State","Zip"
"","03/10/2025","Keelen","Matthew","7551","02/28/2025","National Consulting Services, Inc.","P.O. Box 5076","","Vancouver","WA","98668"
"","02/28/2025","Benton","Donald","7551","02/28/2025","National Consulting Services, Inc.","P.O. Box 5076","","Vancouver","WA","98668"
"","02/28/2025","Toquero","Florita","7549","02/28/2025","Beni Productions LLC","23046 Avenida De La Carlota ","Suite 600","Laguna Hills","CA","92653"
"","02/28/2025","Bradley","James Patrick","7549","02/28/2025","Beni Productions LLC","23046 Avenida De La Carlota ","Suite 600","Laguna Hills","CA","92653"
"","02/25/2025","Sweeney","John E.","7547","02/25/2025","Sweeney & Associates, LLC","1 Stratford Drive","","Clifton Park ","NY","12065"
"","02/25/2025","Estopinan","Arthur A","7546","02/25/2025","The Estopinan Group LLC","2111 Wilson Boulevard, 8th Floor","","Arlington","VA","22201"
"","06/09/2025","Barsa","John","7545","02/24/2025","Continental Strategy LLC","1747 Pennsylvania Ave. NW ","Suite 875","Washington","DC","20006"
"","05/23/2025","Garcia","Alejandro","7545","02/24/2025","Continental Strategy LLC","1747 Pennsylvania Ave. NW ","Suite 875","Washington","DC","20006"
"","05/22/2025","De La Torre","Enrique","7545","02/24/2025","Continental Strategy LLC","1747 Pennsylvania Ave. NW ","Suite 875","Washington","DC","20006"
"","03/13/2025","Martinez","Alberto","7545","02/24/2025","Continental Strategy LLC","1747 Pennsylvania Ave. NW ","Suite 875","Washington","DC","20006"
"","02/24/2025","Trujillo","Carlos","7545","02/24/2025","Continental Strategy LLC","1747 Pennsylvania Ave. NW ","Suite 875","Washington","DC","20006"
"","02/25/2025","Aksa","Erwin","7544","02/25/2025","Yayasan Berbakti Semangat Indonesia","Menara Karya, Jalan HR Rasuna Said Blok X-5 Kav1-2","Kuningan Timur, Setiabudi, Jakarta Selatan","Jakarta","",""
"","02/25/2025","Kesuma Nasution","Dara Adinda","7544","02/25/2025","Yayasan Berbakti Semangat Indonesia","Menara Karya, Jalan HR Rasuna Said Blok X-5 Kav1-2","Kuningan Timur, Setiabudi, Jakarta Selatan","Jakarta","",""
"","02/25/2025","Amri","Mulya","7544","02/25/2025","Yayasan Berbakti Semangat Indonesia","Menara Karya, Jalan HR Rasuna Said Blok X-5 Kav1-2","Kuningan Timur, Setiabudi, Jakarta Selatan","Jakarta","",""
"","02/18/2025","Shoji","Shanti","7543","02/18/2025","Sasakawa Peace Foundation USA","1819 L St. NW #300","","Washington","DC","20036"
"","02/18/2025","Akimoto","Satohiro","7543","02/18/2025","Sasakawa Peace Foundation USA","1819 L St. NW #300","","Washington","DC","20036"
"","02/18/2025","Hinkley","Dustin","7543","02/18/2025","Sasakawa Peace Foundation USA","1819 L St. NW #300","","Washington","DC","20036"
"","02/18/2025","Nasratullah","Ahsan","7542","02/18/2025","Blackwood International Strategic Advisors, LLC","1500 John F Kennedy Boulevard, Suite 1130","","Philadelphia","PA","19102"
"","02/18/2025","Fattah","Chaka","7542","02/18/2025","Blackwood International Strategic Advisors, LLC","1500 John F Kennedy Boulevard, Suite 1130","","Philadelphia","PA","19102"
"","02/13/2025","Thacker","Meghan","7540","02/13/2025","HBW Resources, LLC","2211 Norfolk Street, Suite 610","","Houston","TX","77098"
"","02/12/2025","Harrigan","Patrick David","7538","02/12/2025","Government of Ezidikhan","305 Rose Avenue","","Los Angeles","CA","90291"
"","02/12/2025","Sowilo","Nallein","7538","02/12/2025","Government of Ezidikhan","305 Rose Avenue","","Los Angeles","CA","90291"
"","02/11/2025","McKenna","Neil","7537","02/11/2025","The Porter O'Brien Agency Inc.","836 Churchill Row, Fredericton","","New Brunswick","",""
"","02/11/2025","Campbell","Tyler","7537","02/11/2025","The Porter O'Brien Agency Inc.","836 Churchill Row, Fredericton","","New Brunswick","",""
"","02/11/2025","O'Brien","Jordan","7537","02/11/2025","The Porter O'Brien Agency Inc.","836 Churchill Row, Fredericton","","New Brunswick","",""
"","02/10/2025","Orabueze","Ngozi","7536","02/10/2025","United States of Biafra-Biafra Republic Government in Exile-Defacto","2435 Candler Road","","Decatur","GA","30032"
"05/31/2025","04/30/2025","Berner","Tessa","7535","02/07/2025","The Ingram Group","511 Union Street ","Suite 1900","Nashville","TN","37219"
"05/31/2025","04/28/2025","Meyers","Evan","7535","02/07/2025","The Ingram Group","511 Union Street ","Suite 1900","Nashville","TN","37219"
"05/31/2025","02/07/2025","Ingram","Thomas J.","7535","02/07/2025","The Ingram Group","511 Union Street ","Suite 1900","Nashville","TN","37219"
"05/31/2025","02/07/2025","Kelsey","Amanda","7535","02/07/2025","The Ingram Group","511 Union Street ","Suite 1900","Nashville","TN","37219"
"05/31/2025","02/07/2025","Lowell","Brandi","7535","02/07/2025","The Ingram Group","511 Union Street ","Suite 1900","Nashville","TN","37219"
"","05/08/2025","O'Dwyer","William","7534","02/05/2025","Checkmate Government Relations LLC","121-A Reynolda Village Way","","Winston-Salem","NC","27106"
"","02/08/2025","Vaughan","Frederick Watson","7534","02/05/2025","Checkmate Government Relations LLC","121-A Reynolda Village Way","","Winston-Salem","NC","27106"
"","02/05/2025","McDowell","Charles F.","7534","02/05/2025","Checkmate Government Relations LLC","121-A Reynolda Village Way","","Winston-Salem","NC","27106"
"","03/17/2025","Tabet","Joseph Robert","7533","02/04/2025","Ajjan Associates LLC","501 Mortimer Court","","Franklin Lakes","NJ","07417"
"","02/04/2025","Ajjan","George C.","7533","02/04/2025","Ajjan Associates LLC","501 Mortimer Court","","Franklin Lakes","NJ","07417"
"","01/29/2025","Soliman","Wael","7530","01/29/2025","Soliman, Wael","196 Martin Lane","","Alexandria","VA"," 22304"
"","01/29/2025","Gunster","Gerald","7529","01/29/2025","Gunster Strategies Worldwide","4800 Montgomery Lane, Suite 150","","Bethesda","MD","20814"
"","01/29/2025","Arouna","Omar","7529","01/29/2025","Gunster Strategies Worldwide","4800 Montgomery Lane, Suite 150","","Bethesda","MD","20814"
"","01/24/2025","Attias","Richard","7528","01/24/2025","Richard Attias & Associates LLC","555 Madison Avenue, 17th Floor","","New York","NY","10022"
"","01/24/2025","Titolo","Ashley","7528","01/24/2025","Richard Attias & Associates LLC","555 Madison Avenue, 17th Floor","","New York","NY","10022"
"","01/22/2025","Munk","Jeffrey William","7526","01/22/2025","Schaerr-Jaffe LLP","1717 K Street, NW, Suite 900","","Washington","DC","20006"
"","01/22/2025","Willis","Michael","7525","01/22/2025","The Color Nine Group LLC","1223 F St. NE Unit B, ","","Washington","DC","20002"
"","01/22/2025","Willis","Stephanie","7525","01/22/2025","The Color Nine Group LLC","1223 F St. NE Unit B, ","","Washington","DC","20002"
"","01/20/2025","Miller","James Graham","7523","01/20/2025","Green River Public Affairs LLC","2555 M Street, NW","","Washington","DC","20037"
"","01/17/2025","Ortiz","Manuel","7521","01/17/2025","VantageKnight LLC","705 Fernandez Juncos Avenue","","San Juan","",""
"","01/16/2025","Acevedo","Charles A.","7520","01/16/2025","Krupnick Campbell Malone Buser Slama Hancock, P.A.","350 East Las Olas Boulevard","Las Olas Centre II, Suite 800","Ft. Lauderdale","FL","33301"
"","01/16/2025","Mansar","Sabeur","7519","01/16/2025","QatarEnergy U.S. Holding Corporation, Inc.","609 Main Street, Suite 3950","","Houston","TX","77002"
"","01/16/2025","Brown","Gary Michael","7519","01/16/2025","QatarEnergy U.S. Holding Corporation, Inc.","609 Main Street, Suite 3950","","Houston","TX","77002"
"","03/18/2025","Garvey","Patrick A.","7518","01/14/2025","GlobalPoint International","103 Rowell Court",""," Falls Church","VA"," 22046"
"","01/14/2025","Harvin","Christopher Michael","7518","01/14/2025","GlobalPoint International","103 Rowell Court",""," Falls Church","VA"," 22046"
"","01/13/2025","Zell","Lawrence Marc","7517","01/13/2025","Zell & Associates International Advocates LLC","1345 Avenue of the Americas","","New York","NY","10105"
"","01/10/2025","Collins","Peter","7516","01/10/2025","GMJ Global, LLC","202 Hilltop Drive","","Upper Nyack","NY","10960"
"","01/10/2025","Shah","Shafali","7516","01/10/2025","GMJ Global, LLC","202 Hilltop Drive","","Upper Nyack","NY","10960"
"","01/10/2025","Janata","Gloria Madelyn","7516","01/10/2025","GMJ Global, LLC","202 Hilltop Drive","","Upper Nyack","NY","10960"
"","07/15/2025","Chamberlin Hawes","Chynna","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","07/15/2025","Wedell","Leigh Kn'sten","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","02/27/2025","Tapiero","Dafna","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","02/27/2025","Hubbard-Gourlay","Alexandra","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","02/27/2025","Carver","Nefertari","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Lehr","Deborah Michelle","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Elnaggar","Yasser Aboubakr","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Aljifri","Essam Abdullah","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Hawes","Chynna Chamberlin","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Wedell","Leigh Kristen","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/10/2025","Abdelhameed","Yousra Tarek","7515","01/10/2025","Basilinna Advisory LLC","1209 Orange Street, c/o The Corporation Trust Company","","Wilmington","DE","19801"
"","01/06/2025","Gorman","Angela","7514","01/06/2025","AMWPR, Inc.","222 Broadway","","New York","NY","10038"
"","01/06/2025","Weiss","Adam","7514","01/06/2025","AMWPR, Inc.","222 Broadway","","New York","NY","10038"
"","02/10/2025","Burgess","Robert","7511","12/30/2024","Connector International Inc.","5 Cowboys Way, Suite 300-82","","Frisco","TX"," 75034"
"","12/30/2024","Parada","Ryan","7511","12/30/2024","Connector International Inc.","5 Cowboys Way, Suite 300-82","","Frisco","TX"," 75034"
"","12/28/2024","Ford","Gavin","7510","12/28/2024","Ford and London Global Strategies","1741 Mizell Avenue","","Winter Park","FL"," 32789"
"","12/28/2024","London","Diana","7510","12/28/2024","Ford and London Global Strategies","1741 Mizell Avenue","","Winter Park","FL"," 32789"
"","06/19/2025","Israyelyan","Karen","7509","12/21/2024","First Channel America, Inc.","8241 Babcock Avenue","","North Hollywood","CA","91605"
"","06/19/2025","Baghdasaryan","Ara","7509","12/21/2024","First Channel America, Inc.","8241 Babcock Avenue","","North Hollywood","CA","91605"
"","12/21/2024","Simidyan","Araksi","7509","12/21/2024","First Channel America, Inc.","8241 Babcock Avenue","","North Hollywood","CA","91605"
"05/19/2025","12/16/2024","Varney","Kevin","7504","12/16/2024","Primus Responsum LLC","4813 Falstone Avenue","","Chevy Chase","MD","20815"
"05/19/2025","12/16/2024","Ricaurte","Nicolas Lloreda","7504","12/16/2024","Primus Responsum LLC","4813 Falstone Avenue","","Chevy Chase","MD","20815"
"","12/12/2024","Arnold","Kenneth Paul","7501","12/12/2024","Reed, Travis Dean","1421 Westbrook Avenue","","Richmond","VA","23227"
"","12/12/2024","Bernal","Juan Felipe","7500","12/12/2024","Reyes, Luis Carlos","Calle 28 #13a - 15 ","","Bogota","",""
"","01/31/2025","Henchie","Nicholas","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Terwilliger","George Zachary","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Marwell","Jeremy","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Etchemendy","Matthew X.","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Dry","Michael S.","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Torrez","Madison","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Gunshol","Gabrielle","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Campbell","Nathan","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","01/31/2025","Preheim","Lauryn","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","12/10/2024","Wernick","Ephraim","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","12/10/2024","Cardozo","Camilo","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","12/10/2024","Thomas","Peter","7498","12/10/2024","Vinson & Elkins LLP","845 Texas Avenue, Suite 4700","","Houston","TX","77002"
"","12/10/2024","Nordstrom","Eva","7497","12/10/2024","Thatcher & Company, Inc.","1501 Broadway, Floor 27","","New York","NY","10036"
