"Registrant","Registration #","RegistrationDate","TerminationDate"
"Abraham, Nathaniel Sr.,","5463","10/17/2001","10/31/2001"
"Abramoff, Jack Alan","6439","06/21/2017","12/31/2016"
"AbramsonEhrlichManes, Inc.","3103","04/30/1980","05/05/1994"
"Abuzeid, Anis F.","3456","12/08/1982","10/06/1983"
"Accardo Jr., Joseph J.","4758","01/26/1993","03/16/1994"
"Accenture Saudi Arabia Limited","7320","09/08/2023","09/30/2024"
"Access Management Corporation","4167","08/05/1988","12/31/1989"
"Access Partnership Corp.","7475","10/16/2024","12/31/2024"
"Access Partnership Corp.","6887","11/09/2020","02/23/2022"
"Acevski, Ljubica Z.","4608","01/22/1992","01/31/1996"
"Ackerman, Robert L.","4962","10/11/1994","10/31/1998"
"Ackerson & Feldman, Chartered","4507","04/26/1991","04/16/1992"
"Action Freight Exporters, Inc.","3190","01/13/1981","09/14/1981"
"Actum International UK Limited","7033","11/01/2021","05/31/2022"
"Actum UK Opco, LLC","7176","10/05/2022","08/31/2023"
"Adam Friedman Associates, LLC","6189","09/23/2013","06/01/2014"
"Adamczyk, Alojzy","217","10/23/1943","10/31/1946"
"Adams Jones Law Firm, P.A.","6202","12/20/2013","06/30/2019"
"Adams, Gregory Robert","5771","09/29/2006","03/31/2007"
"Adams, J. Collier","2057","10/23/1967","10/23/1971"
"Adams, John B.","1451","05/09/1961","04/19/1963"
"Adams, John B.","780","07/16/1953","01/16/1959"
"Adams, John G.","2636","12/05/1975","12/05/1979"
"Adkins Jr., Elmer H.","1217","04/08/1959","07/03/1959"
"Advance Coal Management Corporation","3373","05/28/1982","08/25/1983"
"Advance International Corporation","3530","10/18/1983","01/23/1986"
"Advanced Advocacy, LLC","6407","03/10/2017","09/30/2018"
"Advanced Practical Solutions, LLC","5933","04/27/2009","04/30/2010"
"Advantage Associates Inc.","5419","03/21/2001","02/01/2003"
"Advantage Associates Inc.","5275","09/18/1998","03/31/1999"
"Advantage Associates International, LTD., through Raza Bokhari","6062","09/10/2011","03/30/2012"
"Advantage Associates, Inc.","5319","07/06/1999","07/30/2000"
"Advocacy Group","5826","08/31/2007","02/29/2008"
"Advocacy International, Ltd.","4041","09/23/1987","02/23/1988"
"Aeroport de Paris","2693","05/28/1976","06/17/1988"
"Aether Group LLC","7385","03/22/2024",""
"Aferdita Rakipi Communications LLC","7290","07/03/2023",""
"Afghanistan-U.S. Democratic Peace and Prosperity Council, Inc.","6817","04/16/2020","03/01/2022"
"Afri-Trust International (Ati-Afribank)","4169","08/23/1988","10/20/1989"
"Africa - African Travel Association, Inc. (Africa Travel Association)","5967","12/22/2009","12/31/2015"
"Africa United States Friendship & Economic Development Group (US FED Group)","5756","06/30/2006","06/30/2006"
"AfricaGlobal Partners, L.L.C.","5349","12/17/1999","06/30/2004"
"African Millers' Association","4240","04/19/1989","03/08/1993"
"African National Congress (South Africa) Committee","2023","04/28/1967","08/17/1971"
"African National Congress of South Africa, New York","2354","07/17/1972","04/01/1987"
"African National Congress of South Africa, Washington","4515","05/23/1991","05/31/1991"
"African Research & Development Company, Inc.","1414","12/22/1960","12/30/1967"
"Afridi, Angell & Pelletreau LLP","5231","02/04/1998","06/28/2002"
"Agence France-Presse (France-Presse News Agency)","223","12/02/1943","12/31/1957"
"Agendas International, Inc.","3524","09/30/1983","04/03/1995"
"Agh, Laszlo","601","12/08/1949","06/08/1955"
"Agnew, Carter, McCarthy, Inc.","4915","09/27/1993","02/06/1995"
"Agribusiness Corporation of America","4250","05/08/1989","09/20/1989"
"Aguado, Enoc","452","04/10/1947","12/31/1947"
"Aguero Fernandez, Osvaldo Arsenio","1448","05/03/1961","02/01/1961"
"Aguirre, Francisco","2106","09/23/1968","02/05/1974"
"Aguirre, Francisco","1837","12/17/1964","09/03/1965"
"Aguirre, Francisco","1997","12/23/1966","07/08/1968"
"Ahmed, Shaikh Muzaffar","240","03/06/1944","09/06/1945"
"Ahmed, Summer","6983","08/03/2021",""
"Ahmed, Tanweer","6981","07/26/2021","08/14/2021"
"Ahwee, Ronald A.","3715","08/06/1985","08/21/1985"
"Aiken, Paul Case","846","09/28/1954","03/28/1963"
"Air Rhodesia","2073","02/01/1968","01/03/1975"
"Airbus Industrie of North America, Inc.","2817","08/02/1977","03/28/1983"
"Ait-Ahmed, Hussein","968","08/23/1956","12/31/1956"
"Aitken Irvin Lewin Berlin Vrooman & Cohn","5235","08/18/1997","08/18/1997"
"Aitken, Irvin, Lewin, Berlin, Vrooman & Cohn","5049","09/15/1995","08/31/1997"
"Ajjan Associates LLC","7533","02/04/2025",""
"Akbar, Mir H.","5977","03/04/2010","04/16/2010"
"Akerman LLP","7227","02/03/2023","06/13/2023"
"Akin, Gump, Hauer & Feld","2852","12/15/1977","06/15/1979"
"Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983",""
"Akram, Mohammad","6871","09/29/2020","09/29/2020"
"Al Paul Lefton Company Inc.","5614","03/25/2004","08/31/2010"
"Al Paul Lefton Company, Inc.","4912","05/06/1994","06/30/2001"
"Al Paul Lefton Company, Inc.","4678","06/02/1992","05/05/1993"
"Al-Bayan","1042","06/25/1957","09/01/1962"
"Alaaldin, Farhad","6864","09/01/2020",""
"Aladren del Perojo, Jose Maria","293","02/26/1945","12/31/1945"
"Aladren, Jose M.","168","01/01/1943","12/31/1944"
"Alameh, Lara, LLC","5834","10/26/2007","03/01/2008"
"Alan M. Porten & Associates, Inc.","4136","05/04/1988","07/31/1990"
"Alan Prigge, Inc.","2497","02/25/1974","10/31/1990"
"Alaska Pulp & Resources, Inc.","3449","02/25/1983","04/27/1983"
"Albert Frank-Guenther Law, Inc.","967","07/30/1956","07/30/1956"
"Albert M. Prosterman & Associates, Inc.","1566","08/07/1962","03/25/1977"
"Albert Woodley Company, Inc.","1679","01/14/1964","05/20/1974"
"Albertine Enterprises, Inc.","6512","01/24/2018","01/31/2019"
"Albertine Enterprises, Inc.","4793","04/12/1993","11/30/1993"
"Albin Dearing, Inc.","1068","09/24/1957","03/31/1958"
"Albrecht, Inc.","3754","11/06/1985","06/05/1987"
"Alcalde & Fay","3571","03/14/1984","02/12/1996"
"Alcalde & Fay","5317","06/29/1999","07/25/1999"
"Alcalde & Fay","6564","06/15/2018","06/30/2020"
"Alcalde & Fay, Inc.","5394","11/02/2000","05/31/2002"
"Alcalde & Fay, Ltd.","5898","12/09/2008","07/01/2010"
"Alcalde and Fay","5844","12/31/2007","12/31/2007"
"Alcott, Roger E.","1985","07/08/1966","01/31/1969"
"Alden Advertising Agency, Inc.","4433","11/13/1990","04/22/1993"
"Alden Films, Business Education Films, Films of the Nations","2100","08/12/1968","02/12/1996"
"Aled P. Davis Associates","2864","02/22/1978","03/27/1981"
"Alenia of U.S.A., Inc.","3399","08/11/1982","02/11/1992"
"Alexander Beckles, L.L.C.","6939","03/13/2021","06/30/2023"
"Alexander International Development Consultants","2706","07/12/1976","11/26/1984"
"Alexander Strategy Group","5557","04/23/2003","04/30/2006"
"Alexander, Jane","3968","04/20/1987","10/22/1990"
"Alexander, Raymond Pace","462","05/21/1947","12/31/1952"
"Alexander, William","5418","03/21/2001","03/31/2002"
"Alexandria Group International LLC","6707","08/15/2019","02/15/2023"
"Alexandria Group International, LLC","6347","04/03/2016","05/31/2017"
"Alexis, Frank T.","1781","08/24/1964","04/22/1965"
"Alford Leisure Enterprises, Inc.","2418","04/18/1973","09/30/1985"
"Algerian Front of National Liberation","1007","03/12/1957","10/08/1962"
"Alianza Patriotica Nicaraguense","1955","02/07/1966","09/23/1969"
"Alianza Republicana de las Americas - Republican Alliance of the Americas","7195","11/24/2022",""
"Alignment Government Strategies","6317","09/18/2015",""
"Alikonis, Robert John","2789","06/06/1977","11/27/1979"
"Alk, Isadore G.","490","09/24/1947","09/24/1958"
"All Pakistan Muslim League, LLC","6019","02/15/2011","08/31/2017"
"Allan L. Forbes, Inc.","4380","06/06/1990","12/31/1991"
"Allan, John D.","3585","05/09/1984","12/06/1989"
"Allegheny Travel Service","1122","03/10/1958","02/25/1960"
"Allen, Thomas","4994","02/09/1995","01/08/1996"
"Allen, Thomas","5100","03/15/1996","10/01/1996"
"Allen/Van Slyck Group","2191","03/03/1970","05/17/1971"
"Alliance Strategies, L.L.C.","5439","06/01/2001","06/30/2002"
"Alliance of Patriots for the Refoundation of Congo","6529","02/26/2018","04/17/2018"
"Allied Public Relations, Inc.","1177","10/09/1958","01/14/1959"
"Allied Syndicates, Inc.","604","01/06/1950","01/06/1951"
"Allied Travel, Inc.","1209","03/11/1959","03/17/1960"
"Allpoints International, Ltd.","4157","07/07/1988","09/02/1992"
"Allyn & Company","5725","12/27/2005","12/31/2006"
"Almeida, Raymond A.","3242","05/20/1981","10/15/1985"
"Alofs, Edward J.","2442","07/24/1973","11/20/1973"
"Alofs, Edward J.","1725","05/08/1964","05/24/1965"
"Aloft Group, LLC","6961","05/15/2021","03/11/2022"
"Alonso Jr., Andres","3868","08/11/1986","02/18/1988"
"Alpaytac, Inc.","6224","05/23/2014","05/31/2015"
"Alpern, Robert Allen","1823","11/27/1964","11/27/1964"
"Alpha Strategies, LLC","6431","05/12/2017","06/30/2017"
"Alpine Group, Inc.","6373","09/08/2016","10/08/2016"
"Alpine Tourist Office","2052","09/27/1967","02/08/2017"
"Alsace Development International, Inc.","3506","08/10/1983","10/24/2007"
"Alsalih, Mark K.","5974","02/18/2010","08/31/2019"
"Alsop, Denny","4565","09/17/1991","04/29/1992"
"Alston & Bird, LLP","5549","04/01/2003","10/14/2020"
"Altman, Stoller & Weiss Advertising, Inc.","3025","05/21/1979","06/15/1982"
"Alvin Rosenbaum Projects, Inc.","3858","07/18/1986","07/29/1987"
"Alyse Lynn Booth & Associates","3870","08/15/1986","05/01/1987"
"Alzuri Y Carballo, Pedro De Jesus","1455","06/05/1961","06/05/1961"
"Amagai Policy Advisors LLC","6541","04/13/2018","05/22/2018"
"Amano, Kathy Y.","5972","11/17/2009","11/30/2010"
"Ambassador Hugo Llorens and Global Partners LLC","7280","05/31/2023",""
"Ambazonia Liberation Party (ALIP)","5655","11/04/2004","05/31/2005"
"Ambazonia Peoples Emancipation Council (APEC)","5578","09/17/2003","03/31/2004"
"Ambessa Solutions LLC","6962","05/17/2021",""
"Ambrose Partners LLC","7276","05/19/2023","10/01/2023"
"America to Africa Consulting, LLC (A2A)","6715","09/03/2019","10/31/2019"
"American Basque Foundation, Inc.","4971","11/14/1994","05/31/1996"
"American Business Development Group","5810","05/14/2007","10/31/2011"
"American Chapter of the Religious Emergency Council","111","09/01/1942","10/07/1943"
"American Continental Group","6598","10/09/2018","09/04/2019"
"American Continental Group","5097","03/04/1996","03/31/1999"
"American Continental Group","5536","12/19/2002","12/31/2003"
"American Continental Group","5695","07/08/2005","01/31/2006"
"American Defense International, Inc.","5135","10/10/1996","10/31/1997"
"American Defense International, Inc.","5311","05/17/1999","05/31/2002"
"American Defense International, Inc.","6567","07/05/2018",""
"American Engineering Export Corporation","611","02/03/1950","02/03/1950"
"American Express Company","981","11/20/1956","04/06/1960"
"American Expressions, Inc.","4035","09/01/1987","12/22/1988"
"American Friends of Miguel Aleman","363","07/03/1946","10/09/1946"
"American Friends of Polish Democracy","86","08/07/1942","11/14/1945"
"American Friends of the BNP","5488","04/03/2002","04/03/2002"
"American Fuel Trading Company","689","10/24/1951","06/05/1953"
"American International Business Research Corporation","2012","03/07/1967","09/09/1967"
"American International Consulting Group, Inc.","4939","08/08/1994","08/31/1994"
"American International Development Group, Inc.","5259","06/03/1998","12/31/2005"
"American Kurdish Committee, Inc. (AKC)","7367","01/31/2024",""
"American Members of the Institut de France, Inc.","245","04/15/1944","10/15/1944"
"American National Pan-Epirotic League","173","01/06/1943","10/18/1944"
"American Nord-Aviation, Inc.","1452","05/15/1961","05/15/1970"
"American Section of the Jewish Agency for Israel","208","09/14/1943","10/29/1971"
"American Spice Trade Association, Inc.","126","09/21/1942","07/02/1945"
"American Surveys","1269","09/15/1959","12/13/1968"
"American Tourist Bureau, Inc., Chicago","1259","08/27/1959","02/25/1960"
"American Tourist Bureau, Inc., New York","1229","05/14/1959","11/23/1960"
"American Trade & Finance Company","2692","05/19/1976","10/31/1983"
"American Travel Abroad, Inc.","1130","04/11/1958","05/06/1960"
"American Worldwide Inc.","5425","04/06/2001","04/30/2002"
"American-Chechenian Friendship & Economic Association","4791","04/08/1993","10/29/1993"
"American-Chilean Council","2569","03/31/1975","05/30/1979"
"American/Chinese Export Corporation","643","10/03/1950","11/03/1952"
"Amerisphere Group, Ltd.","4366","04/16/1990","10/29/1993"
"Ameritex Development Corporation","670","04/18/1951","11/15/1952"
"Amernic International, Inc.","1964","02/17/1966","08/26/1966"
"Amerpol Enterprises, Inc.","1203","02/19/1959","02/25/1960"
"Ammerman, H. Max","2664","02/25/1976","09/29/1987"
"Amram, Hahn & Sundlun","1496","12/05/1961","06/05/1966"
"Amsterdam & Partners, LLP","6325","10/26/2015",""
"Amtorg Trading Corporation","596","11/07/1949","03/30/1993"
"Amway Corporation","3338","02/25/1982","02/06/1987"
"Anaya, Toney","4568","09/19/1991","05/05/1994"
"Anchor Line, Ltd.","66","07/27/1942","07/27/1942"
"Anchor, Clifford James","1729","05/13/1964","10/15/1965"
"Anderson & Pendleton, C.A.","2696","06/09/1976","12/07/1992"
"Anderson, Cyrus T.","1529","03/20/1962","09/20/1962"
"Anderson, Ervin Oscar","808","12/29/1953","11/04/1965"
"Anderson, Hibey & Blair","3208","03/09/1981","05/17/1995"
"Anderson, Janet C.","5449","08/03/2001","02/14/2002"
"Andreae & Associates","6371","08/17/2016","07/01/2018"
"Andres, Voltaire F.T.","2427","05/10/1973","10/18/1974"
"Andrew Rudman Consulting LLC","6618","01/18/2019","02/15/2019"
"Andrews Associates, Inc.","4062","11/25/1987","12/18/1989"
"Andrews, Marjorie Key","861","12/29/1954","09/10/1962"
"Anestos, Harry P.","2081","03/20/1968","02/05/1974"
"Anfuso Jr., Victor L.","1633","05/31/1963","05/31/1963"
"Angelidis, John J.","1570","08/31/1962","08/31/1962"
"Anglin, Dion","7391","03/28/2024",""
"Angola Office","2282","10/04/1971","08/01/1973"
"Angola Office","1517","02/07/1962","10/29/1970"
"Angwenyi, David Matara","7212","04/26/2023",""
"Ann E.W. Stone & Associates","3914","12/11/1986","01/10/1991"
"Anna M. Rosenberg Associates","1443","05/02/1961","08/25/1961"
"Annabel Hughes Communications, Inc.","5665","01/21/2005","01/21/2005"
"Ansara, James M.","1053","07/12/1957","12/31/1957"
"Ansberry, Louise S.","2297","12/15/1971","02/01/1979"
"Anthony Podesta, dba Podesta.com","7108","04/15/2022","05/11/2022"
"Anti-Communist Pan-American Association","1415","12/23/1960","06/23/1961"
"Apodaca, Sosa & Associates, Inc.","4640","03/25/1992","12/05/1994"
"Appia Group LLC","5576","08/20/2003","08/15/2004"
"Aquila Strategies, LLC","7409","05/15/2024",""
"Arab Information Center","876","03/03/1955",""
"Arab Office","322","09/21/1945","09/21/1945"
"Arab-American Dialogue Committee","2978","11/20/1978","06/25/1984"
"Arai, Yoneo","110","09/01/1942","03/28/1945"
"Aramco Affiliated Services Company (AASC)","6390","11/14/2016",""
"Aramtek Corporation","2810","07/13/1977","12/31/1987"
"Aranow, Brodsky, Bohlinger, Einhorn & Dann","1731","05/13/1964","12/18/1967"
"Arau & Goldberg","3285","10/08/1981","05/23/1984"
"Arau Associates, Inc.","2051","09/22/1967","03/15/1972"
"Arau Associates, Inc.","4102","05/23/1984","04/07/1993"
"Archbishop Uladyslau (Ryzy-Ryski)","2762","03/18/1977","04/07/1980"
"Arcobelli, Vincenzo","5861","04/15/2008","04/17/2008"
"Ardois, Luis Fernandez","40","07/11/1942","07/11/1942"
"Arellano, William Guillermo","2894","05/03/1978","05/23/1980"
"Arena Strategy Group, LLC","6899","12/09/2020",""
"Arent Fox Kintner Plotkin & Kahn, PLLC","2661","02/18/1976","02/18/1999"
"Arent Fox, LLP","5882","09/22/2008","03/15/2010"
"Arent Fox, PLLC","5476","02/21/2002","08/31/2005"
"Arent, Fox, Kintner, Plotkin & Kahn","1628","05/14/1963","07/01/1967"
"ArentFox Schiff LLP","6952","04/30/2021",""
"Arest, Abraham","547","12/20/1948","12/20/1948"
"Argentine Trade Promotion Corporation","314","08/08/1945","08/08/1947"
"Arguello Solorzano, Fernando","1311","12/14/1959","06/14/1963"
"Ari Fleischer Communications, Inc.","5925","03/30/2009","05/15/2009"
"Arianespace, Inc.","3673","04/30/1985","10/31/1999"
"Aristotle International, Inc.","6469","09/27/2017","09/15/2018"
"Arkell, Julian","3786","02/28/1986","10/20/1986"
"Arkus, Istvan","1937","11/08/1965","07/31/1968"
"Armao & Company, Inc.","3381","06/16/1982","01/06/1984"
"Armao & Company, Inc.","3139","08/12/1980","07/13/1981"
"Armesto, Felipe Fernandez G.","837","06/19/1954","01/19/1955"
"Armour, Herrick, Kneipple & Allen","1390","09/12/1960","03/12/1961"
"Armstrong & Associates, LLC","6416","04/06/2017","05/31/2017"
"Armstrong, John A.","3575","04/24/1984","09/24/1993"
"Armstrong, Rodney E.","2724","10/08/1976","10/30/1990"
"Armstrong, Teasdale, Kramer & Vaughan","3461","04/20/1983","11/20/1984"
"Arnall Golden Gregory, LLP","6150","01/14/2013","12/19/2013"
"Arnaz y Alberni, Desiderio","38","07/11/1942","05/23/1945"
"Arnold & Porter Kaye Scholer LLP","1750","06/04/1964",""
"Arnold Worldwide/NY","5500","06/05/2002","12/31/2005"
"Arnold, Fortas & Porter","728","05/28/1952","05/28/1957"
"Arnold, Jim","6349","04/21/2016","04/30/2018"
"Arrive Unlimited Corporation","3483","06/15/1983","07/06/1987"
"Arrive Unlimited, Inc.","3244","05/28/1981","06/28/1982"
"Arroyo, Julian Avelino","392","11/18/1946","06/30/1955"
"Arroyo, Julian Avelino","25","07/09/1942","03/30/1943"
"Arter & Hadden","3942","03/03/1987","04/04/1994"
"Arter & Hadden","3686","06/03/1985","12/31/1985"
"Arter & Hadden, LLP","5031","06/26/1995","06/30/2001"
"Arter, Hadden & Hemmendinger","1001","02/21/1957","06/30/1983"
"Arthur A. Fletcher & Associates","3246","06/10/1981","06/12/1984"
"Arthur D. Little, Inc.","3804","03/31/1986","03/23/1987"
"Arthur D. Little, Inc.","2032","06/26/1967","11/03/1967"
"Arthur D. Little, Inc.","2822","08/15/1977","09/30/1977"
"Arthur Schmidt & Associates, Inc.","2969","10/20/1978","11/12/1982"
"Artkino Pictures, Inc.","103","08/22/1942","11/08/1982"
"Artley, Inc.","1681","01/17/1964","02/28/1967"
"Aruba Information Center, Miami","2337","04/25/1972","03/19/1973"
"Aruba Information Center, New York","2340","05/05/1972","03/19/1973"
"Aruba Tourism Authority","2987","12/29/1978",""
"Asatsu America, Inc.","5242","03/06/1998","03/31/1998"
"Aschner Associates","1456","06/06/1961","06/06/1961"
"Asencio, Armando J.","1395","09/26/1960","09/26/1960"
"Asencio, Diego C.","5091","01/03/1996","01/04/1996"
"Asensio, General Jose'","884","04/01/1955","10/01/1960"
"Asensio, General Jose'","602","12/15/1949","12/15/1951"
"Asensio, Jose'","41","07/13/1942","07/15/1946"
"Ashcroft Law Firm, LLC","6438","06/09/2017","06/15/2023"
"Asher H. Ende Associates, Inc.","3062","09/26/1979","10/31/1983"
"Asia Associates, Inc.","5201","08/15/1997","08/31/2009"
"Ask Mr. Foster Travel Service, Inc.","1253","08/17/1959","02/26/1960"
"Aspen Hill Enterprises, Ltd.","4158","07/13/1988","01/01/1996"
"Associated Public Relations Counselors, Inc.","2090","04/25/1968","04/25/1968"
"Associates Detectives, Inc.","1168","09/10/1958","03/10/1959"
"Association Films, Inc.","1814","11/06/1964","08/31/1981"
"Association of Japanese Textile Imports, Inc.","2289","11/18/1971","11/17/1971"
"Asterix LLC","7564","04/02/2025",""
"Asters Consult LLC","7043","11/12/2021","09/01/2023"
"Astrategik Group","7201","12/10/2022","12/10/2022"
"Atef, Ahmed Ali","7078","02/09/2022",""
"Atlanta Products Corporation","932","03/06/1956","03/06/1956"
"Atlantic Communications","4714","09/30/1992","09/30/1993"
"Atlantic Gulf Communities Corporation","5000","03/07/1995","09/30/1998"
"Atlantic Travel Bureau","1038","06/14/1957","08/12/1960"
"Atlas Packers, Inc.","850","11/12/1954","05/12/1957"
"Atwater Bradley Company, Inc.","1925","09/15/1965","06/02/1970"
"Audience Partners Worldwide LLC","6657","04/08/2019","10/31/2019"
"Audience Partners Worldwide, LLC","6448","07/28/2017","02/28/2018"
"Auersperg, Hilda Heriot","228","01/01/1944","01/01/1944"
"Augay Enterprises, Inc.","3328","02/02/1982","09/01/1983"
"August Group, Inc.","2620","10/21/1975","02/11/1980"
"August, Lang & Husak","5843","12/28/2007","12/31/2008"
"Austin Jr., Guilford Marks","1214","03/27/1959","03/27/1962"
"Austin, Clyde","138","10/10/1942","05/31/1943"
"Australian Broadcasting Corporation","394","11/19/1946","06/30/2003"
"Australian Information Service","418","12/31/1946","06/30/1989"
"Australian Meat & Livestock Corporation","2611","09/29/1975","06/30/1998"
"Australian Meat Board/Off. of the N. American Representative","2202","07/28/1970","07/07/1971"
"Australian Tourist Commission, Chicago","2295","12/14/1971","02/27/1974"
"Australian Tourist Commission, New York","2279","09/22/1971","07/01/1982"
"Australian-American Public Relations, Inc.","4113","04/04/1988","07/19/1994"
"Austrian Action, Inc. - Free Austrian Movement","295","03/08/1945","01/01/1946"
"Austrian Business Agency","3620","10/16/1984","04/30/1997"
"Austrian Labor Committee","129","09/29/1942","02/08/1946"
"Austrian National Tourist Office for the Pacific Northwest","2454","09/04/1973","02/07/1985"
"Austrian National Tourist Office, Los Angeles","2481","12/04/1973","05/01/1980"
"Austrian National Tourist Office, Midwest Office","2457","09/04/1973","10/20/1993"
"Austrian Tourist Office, Inc.","495","10/03/1947",""
"Austrian Trade Commission in the U.S., Houston","3410","09/20/1982","06/30/1995"
"Austrian Trade Commission in the U.S., Southern Region","5041","08/17/1995","11/12/2024"
"Austrian Trade Commission, Chicago","6193","11/04/2013","09/30/2021"
"Austrian Trade Commission, Los Angeles","793","10/21/1953","10/13/1992"
"Austrian Trade Commission, New York","625","05/11/1950","08/18/1992"
"Austrian Trade Commissioner in the U.S., Chicago","874","02/21/1955","06/17/1992"
"Austrian Trade Delegate in the U.S., Southern Office","1986","07/14/1966","10/21/1969"
"Auten, Harold","4","07/03/1942","07/03/1943"
"Avatar Enterprises, Inc.","5821","07/27/2007","01/31/2010"
"Avenue Strategies, LLC","6446","07/24/2017","04/30/2021"
"Aviso, Inc.","4220","02/22/1989","02/28/1995"
