"Country/LocationRepresented","Registrant","Registration #","RegistrationDate","Address","State","Foreign Principal","Foreign PrincipalRegistration Date","Foreign PrincipalTermination Date"
"ST. KITTS AND NEVIS","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Prime Minister's Office of St Christopher & Nevis thru Lanny J. Davis & Associates","12/08/2015","06/30/2016"
"KOREA SOUTH","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Korea Ministry for Trade, Industry, and Energy (""MOTIE"") (through K&L Gates)","02/12/2018","06/30/2018"
"NICARAGUA","Ann E.W. Stone & Associates","3914","12/11/1986","1315 Duke StreetAlexandria&nbsp;&nbsp;22314","VA","Nicaraguan Development Council/UNO/FDN, Washington, D.C.","12/11/1986","10/07/1987"
"NICARAGUA","Ann E.W. Stone & Associates","3914","12/11/1986","1315 Duke StreetAlexandria&nbsp;&nbsp;22314","VA","Nicaraguan Resistance/U.S.A. (NRUSA)","03/21/1988","02/28/1990"
"IRAQ","Prime Policy Group","6008","12/08/2010","1110 Vermont Avenue, NWSuite 1000Washington&nbsp;&nbsp;20005","DC","Sheikh Nawaf al Jarba","12/08/2010","11/29/2010"
"KOSOVA","Prime Policy Group","6008","12/08/2010","1110 Vermont Avenue, NWSuite 1000Washington&nbsp;&nbsp;20005","DC","Social Democratic Party of Kosovo","01/28/2011","01/24/2011"
"LUXEMBOURG","Luxcore, Ltd.","7379","03/05/2024","255 Drake Avenue, No. 7  New Rochelle&nbsp;&nbsp;10805","NY","Luxembourg Trade & Investment Office in New York","03/05/2024",""
"MEXICO","Clews Communications, Inc.","3889","09/26/1986","220 - 7th Street, S.E.Washington&nbsp;&nbsp;20003","DC","Miguel Fernandez","09/26/1986","07/03/1989"
"MEXICO","Clews Communications, Inc.","3889","09/26/1986","220 - 7th Street, S.E.Washington&nbsp;&nbsp;20003","DC","Rodolfo Elizondo","09/26/1986","07/03/1989"
"HUNGARY","IBUSZ Hungarian Travel Company, Midwest Office","4451","12/19/1990","233 North Michigan AvenueSuite 1308Chicago&nbsp;&nbsp;60601","IL","IBUSZ Hungarian Travel Company","12/19/1990","09/27/1993"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","DCA Advertising, Inc.","08/01/1989","01/15/1990"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Fujitsu America","07/28/1989","01/31/1990"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Government of Japan","06/15/1989","03/22/1991"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","NEC Electronics, Inc.","07/28/1989","01/15/1990"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Nisshinbo California, Inc.","07/28/1989","01/31/1990"
"PHILIPPINES","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Republic of the Philippines","02/09/1990","12/31/1990"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Sumiden Wire Products Corporation","07/28/1989","01/31/1990"
"JAPAN","Orrick, Herrington & Sutcliffe","4266","06/12/1989","555 Capitol MallSuite 1200Sacramento&nbsp;&nbsp;95814","CA","Toyota Motor Sales U.S.A., Inc.","07/28/1989","01/31/1990"
"GERMANY","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Action Press","05/30/1986","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Amsterdam Diamond Center","06/06/1989","05/08/1991"
"GERMANY","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Berlin Tourist Office","03/15/1989","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Chamber of Commerce of the City of Rotterdam","12/03/1990","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","City of Rotterdam","05/30/1986","05/08/1991"
"FRANCE","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Conseiller Francais des Department et Territoires d'Outre Mer","03/15/1989","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Dutch American Soccer Foundation C/O RECO Productions International, B.V.","01/12/1990","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Golden Tulip International","03/15/1989","04/03/1989"
"JAPAN","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Kinki Nippon Tourist Company, Ltd.","03/15/1989","05/08/1991"
"CANADA","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","La Societe de Development et Promotion de l'Archipel St. Pierre & Miquelon","12/03/1990","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Netherlands Board of Tourism","11/01/1984","05/08/1991"
"JAPAN","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Nihon Agency, Inc.","11/20/1987","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","NRV Holiday, B.V.","03/15/1989","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Reibel, B.V., Shipping & Forwarding","03/15/1989","05/08/1991"
"NETHERLANDS","FCB/InterMarketing","3628","11/06/1984","400 Madison Avenue18th FloorNew York&nbsp;&nbsp;10017","NY","Rotterdam Distriport","03/15/1989","05/08/1991"
"NORWAY","Simonsen, Svein Winge","774","06/18/1953","290 Madison AvenueNew York&nbsp;&nbsp;","NY","Norwegian State Railways (H.E. Stokke)(Olaf Holtmon)","06/18/1953","11/26/1954"
"POLAND","Polish National Tourist Office, New York","4762","02/04/1993","980 N Michigan Ave, STE 1550Suite 208 Chicago&nbsp;&nbsp;60611","IL","Ministry of Sports & Tourism of the Republic of Poland","02/04/1993",""
"GUATEMALA","Lipsen, Charles B.","3152","09/30/1980","1826 Calvert Street, N.W.Washington&nbsp;&nbsp;20009","DC","El Ganadera y Afiliadas","09/30/1980","12/31/1981"
"BERMUDA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Bermuda Department of Tourism","04/17/1990","03/31/1999"
"GREAT BRITAIN","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","British Tourist Authority","10/01/1971","06/30/1972"
"ISRAEL","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","El-Al Israel Airlines","10/22/1971","07/31/1983"
"FRANCE","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","French Government Tourist Office","12/21/1959","11/01/1969"
"ISRAEL","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Israel Government Tourist Office","09/16/1957","08/01/1965"
"ISRAEL","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Israel Government Tourist Office","05/03/1976","07/31/1983"
"JAMAICA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Jamaica Tourist Board","10/14/1963","10/22/1971"
"JAMAICA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Jamaica Tourist Board","10/22/1971","03/31/1978"
"COLOMBIA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","National Federation of Coffee Growers of Colombia","12/02/1959","10/22/1971"
"COLOMBIA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","National Federation of Coffee Growers of Colombia","10/22/1971","03/16/2002"
"SAUDI ARABIA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Saudi Arabia Development Committee","06/20/1989","04/19/1993"
"SAUDI ARABIA","DDB Worldwide Communications Group, Inc.","1066","09/16/1957","437 Madison AvenueNew York&nbsp;&nbsp;10022","NY","Saudi Arabian Development Committee","11/05/1984","04/15/1986"
"BOSNIA & HERZEGOVINA","Laurus Group, LLC","6022","03/04/2011","1133 Connecticut Avenue, NW5th FloorWashington&nbsp;&nbsp;20036","DC","Ministry of Economic Relations and Regional Cooperation of the Government of the Republika Srpska","03/04/2011","09/30/2011"
"VENEZUELA","Latin America Information Office LLC","5609","02/27/2004","2000 P Street, NWSuite 240Washington&nbsp;&nbsp;20036","DC","Embassy of Venezuela","02/27/2004","08/31/2009"
"BOLIVIA","Latin America Information Office LLC","5609","02/27/2004","2000 P Street, NWSuite 240Washington&nbsp;&nbsp;20036","DC","Fundacion Siglo XXI","12/17/2008","08/31/2009"
"COLOMBIA","Latin America Information Office LLC","5609","02/27/2004","2000 P Street, NWSuite 240Washington&nbsp;&nbsp;20036","DC","Movimiento Poder Ciudadano, Siglo 21","05/27/2009","08/31/2009"
"BRAZIL","Granados, Juan Antonio","3432","12/14/1982","2501 Northeast 26th AvenueLighthouse Point&nbsp;&nbsp;33064","FL","Interbras, Petrobras Comercio International S/A","12/14/1982","06/15/1983"
"PHILIPPINES","Fidelity Pacific Group, L.P.","4300","09/26/1989","RR2 Pinebrook RoadBedford&nbsp;&nbsp;10590","NY","Republic of the Philippines","09/26/1989","03/24/1993"
"DOMINICAN REPUBLIC","Mallen, George W.","1577","10/24/1962","126 Smith StreetBrooklyn&nbsp;&nbsp;","NY","Government of the Dominican Republic","10/24/1962","10/24/1962"
"PAKISTAN","LGS LLC","7361","01/22/2024","1309 Coffeen Avenue, STE 1200Sheridan&nbsp;&nbsp; 82801","WY","Friends of Democratic Pakistan","01/22/2024","03/31/2024"
"LIBERIA","Long, Parker, Doyle & Murphy","2920","06/22/1978","449 Stadium RoadPort Arthur&nbsp;&nbsp;77640","TX","Republic of Liberia","06/22/1978","06/06/1980"
"KUWAIT","Gulf State Analytics","6773","12/20/2019","1112 M Street, NWSuite 208Washington&nbsp;&nbsp;20005","DC","KGL Investment K.S.C.C. through Marathon Strategies, LLC","12/20/2019","02/11/2020"
"PORTUGAL","J.B. Rundle, Inc., Advertising","1698","03/06/1964","21 East 26th StreetNew York&nbsp;&nbsp;","NY","Portugal","03/06/1964","12/03/1965"
"UKRAINE","PLUS Communications, LLC","7107","04/11/2022","3001 Washington Boulevard7th FloorArlington&nbsp;&nbsp;22201","VA","""Ukrainian PR Army""","04/11/2022",""
"UKRAINE","PLUS Communications, LLC","7107","04/11/2022","3001 Washington Boulevard7th FloorArlington&nbsp;&nbsp;22201","VA","Stand With Ukraine","09/20/2024",""
"JAPAN","Patricia Dickerman, Inc.","924","12/15/1955","36 East 57th StreetNew York&nbsp;&nbsp;","NY","Japan Air Lines Company, Ltd.","12/15/1955","08/31/1960"
"GREAT BRITAIN","Beckman & Kirstein","3505","08/05/1983","1400 I Street, N.W.Suite 300Washington&nbsp;&nbsp;20005","DC","Laker Airways, Ltd.","08/05/1983","09/03/1985"
"CANADA","Paul Purdom & Company, Inc.","4740","12/21/1992","395 Oyster Point BoulevardSuite 319South San Francisco&nbsp;&nbsp;94080","CA","Canadian Consulate General","12/21/1992","06/09/1993"
"CONGO REPUBLIC OF THE","Pamoja USA, LLC","6575","07/23/2018","1670 S Roberto Maestas Festival St Unit 312Seattle&nbsp;&nbsp;98144","WA","Felix Tshisekedi","07/23/2018","01/24/2019"
"BOSNIA & HERZEGOVINA","Picard Kentz & Rowe, LLP","5939","05/28/2009","1750 K Street, NWWashington&nbsp;&nbsp;20006","DC","Government of Republika Srpska","05/28/2009","04/30/2019"
"SERBIA","Picard Kentz & Rowe, LLP","5939","05/28/2009","1750 K Street, NWWashington&nbsp;&nbsp;20006","DC","Agencija Za Konsalting Sigma Team Plus","12/17/2009","05/31/2010"
"UNITED ARAB EMIRATES","Camstoll Group, LLC","6144","12/10/2012","1112 Montana Avenue#904Santa Monica&nbsp;&nbsp;90403","CA","Outlook Energy Investments, LLC (wholly owned by the Emirate of Abu Dhabi)","12/10/2012",""
"TURKEY","Slade, Jonathan B.","4228","03/21/1989","444 North Capitol Street, N.W.Suite 711Washington&nbsp;&nbsp;20001","DC","Turkish Embassy","03/21/1989","02/06/1990"
"PALESTINE","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Bodegas Pedro Domecq, S.A.","09/01/1964","01/01/1964"
"SPAIN","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Centro de Cultura por Correspondencia (CCC)","09/01/1964","01/01/1964"
"SPAIN","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Hotel Los Monteros","09/01/1964","01/01/1964"
"SPAIN","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Iberia Airlines","09/01/1964","01/01/1964"
"SPAIN","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Ministerio de Informacion y Turismo (Spanish Government)","09/01/1964","01/01/1964"
"SPAIN","Leiser, Henri","1786","09/01/1964","Vallehermoso 30Madrid&nbsp;&nbsp;","","Muebles Darro (Furniture Company)","09/01/1964","01/01/1964"
"FRANCE","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","Droit de Naitre","12/02/2019","01/18/2019"
"NETHERLANDS","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","Stichting Civitas Christiana","12/02/2019","01/27/2017"
"COLOMBIA","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","SanElias.org","12/02/2019","01/27/2017"
"CROATIA","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","Davor Stier","12/02/2019","07/05/2017"
"GERMANY","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","Deutsche Vereinigung fur eine Christliche Kultur DVCK e.V.","12/02/2019","01/19/2018"
"LITHUANIA","Foundation for a Christian Civilization, Inc.","6759","12/02/2019","1358 Jefferson RoadSpring Grove&nbsp;&nbsp;17362","PA","Krikscionskosios Kulturos Gynimo Asociacja","12/02/2019","01/27/2017"
"BOLIVIA","Kruse, Thomas A.","5762","07/19/2006","22 West 130th StreetApartment 2New York&nbsp;&nbsp;10037","NY","Ministry of Foreign Affairs and Culture, Republic of Bolivia","07/19/2006","03/31/2008"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Asparagus Canners' Export Corporation","01/08/1981","04/01/1984"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Electric Appliance Manufacturers' Association","01/08/1981","04/01/1984"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Flour Mills' Association","01/08/1981","12/31/1985"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Footwear Exporters' Association","01/08/1981","12/31/1985"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Maize Importers' Joint Committee","01/08/1981","04/01/1984"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Mushroom Packers' United Export Corporation","01/08/1981","04/01/1984"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Soyabean Importers' Joint Committee","01/08/1981","04/01/1984"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Taiwan Textile Federation","01/21/1980","12/31/1988"
"TAIWAN","United Friends, Inc.","3083","01/21/1980","1511 K Street, N.W.Suite 505Washington&nbsp;&nbsp;20005","DC","Tatung Company","01/08/1981","04/01/1984"
"UNITED STATES","Kelly, Eugene","1327","02/05/1960","LaDalle Apartments1028 Connecticut Ave., NW #930Washington&nbsp;&nbsp;","DC","Latin American Affairs, Inc.","02/05/1960","02/05/1960"
"FINLAND","Poore, John G.","663","03/06/1951","27 William StreetNew York&nbsp;&nbsp;","NY","Finska Angfartygs Aktiebolaget","03/06/1951","07/18/1952"
"GERMANY FEDERAL REPUBLIC OF","Snyder & Ball Associates, Inc.","3019","05/10/1979","1700 North Moore StreetSuite 1610Arlington&nbsp;&nbsp;22209","VA","Howaldswerke - Deutsche Werft, A.G.","05/10/1979","10/14/1983"
"POLAND","Banach, Francis-Louis Edward","57","07/20/1942","Station WestBox 20Brooklyn&nbsp;&nbsp;","NY","Dr. Slawoj-Skladkowski","07/20/1942","01/20/1945"
"ROMANIA","Banach, Francis-Louis Edward","57","07/20/1942","Station WestBox 20Brooklyn&nbsp;&nbsp;","NY","Marshal Edward Smigly-Rydz","03/17/1943","01/20/1945"
"CANADA","Wellford, Wegman & Hoff","3278","10/06/1981","1701 Pennsylvania Avenue, N.W.Suite 1000Washington&nbsp;&nbsp;20006","DC","Canadian Embassy","10/06/1981","11/15/1988"
"CANADA","Wellford, Wegman & Hoff","3278","10/06/1981","1701 Pennsylvania Avenue, N.W.Suite 1000Washington&nbsp;&nbsp;20006","DC","Department of Natural Resources, Province of Manitoba, Canada","04/02/1982","11/15/1988"
"BRAZIL","Wellford, Wegman & Hoff","3278","10/06/1981","1701 Pennsylvania Avenue, N.W.Suite 1000Washington&nbsp;&nbsp;20006","DC","Forjas Taurus, S.A.","10/12/1988","11/15/1988"
"CANADA","Wellford, Wegman & Hoff","3278","10/06/1981","1701 Pennsylvania Avenue, N.W.Suite 1000Washington&nbsp;&nbsp;20006","DC","Ministry of the Environment of the Province of Ontario","11/06/1985","11/15/1988"
