"Country/LocationRepresented","Foreign Principal","Foreign PrincipalRegistration Date","Address","State","Registrant","Registration #","RegistrationDate"
"HONG KONG","Hong Kong Trade Development Council","06/02/2009","36-39/F, Office Tower, Convention Plaza1 Harbour RoadWanchai&nbsp;&nbsp;","","Venable, LLP","5931","04/17/2009"
"QATAR","Embassy of the State of Qatar","02/05/2018","2555 M Street, NWWashington&nbsp;&nbsp;20037","DC","Venable, LLP","5931","04/17/2009"
"UNITED ARAB EMIRATES","Outlook Energy Investments, LLC (wholly owned by the Emirate of Abu Dhabi)","12/10/2012","P.O. Box 44442Abu Dhabi&nbsp;&nbsp;","","Camstoll Group, LLC","6144","12/10/2012"
"JAPAN","Consulate General of Japan in Atlanta","08/11/2022","&nbsp;&nbsp;","","Gilbert, Harrell, Sumerford & Martin","7155","08/11/2022"
"IRAQ","Dr. Firas Daham","01/09/2024","MANSOUR BLDG BAGHDAD&nbsp;&nbsp;","","USA SOUTH BRIDGE LOGISTICS INC","7359","01/09/2024"
"BERMUDA","Bermuda Tourism Authority","03/11/2024","22 Church Street, 5th Floor Hamilton&nbsp;&nbsp;","","Miles Partnership, LLLP","7382","03/11/2024"
"MEXICO","Los Cabos Tourism Trust","03/11/2024","Carretera Transpeninsular Km. 4.3 Plaza Providenci NO. 209, El Tezal, BCS, CPCabo San Lucas&nbsp;&nbsp;","","Miles Partnership, LLLP","7382","03/11/2024"
"FRENCH POLYNESIA","Tahiti Tourisme","03/11/2024","2eme etage du Quai des Ferrys de la gare maritime PapeeteTahiti &nbsp;&nbsp;","","Miles Partnership, LLLP","7382","03/11/2024"
"SPAIN","IFEMA MADRID","03/11/2024","Avenida del Partenon, 5 Madrid&nbsp;&nbsp;","","Miles Partnership, LLLP","7382","03/11/2024"
"MARSHALL ISLANDS","Republic of the Marshall Islands","07/01/1991","Majuro Atoll&nbsp;&nbsp;","","International Registries, Inc.","4533","07/01/1991"
"NORTHERN IRELAND","Invest Northern Ireland","04/13/1990","Belfast&nbsp;&nbsp;","","Invest Northern Ireland","4364","04/13/1990"
"SAHARAWI ARAB DEMOCRATIC REPUBLIC","Government of the Sahrawi Arab Democratic Republic","04/03/2008","Dr. Sidi M. Omar19a Hormead Road London &nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"MARSHALL ISLANDS","Mission of the Republic of the Marshall Islands to the United Nations","11/30/2011","800 Second Avenue, 18th FloorNew York&nbsp;&nbsp; 10017","NY","Independent Diplomat, Inc.","5860","04/03/2008"
"MALI","Coordination of the Movements of the Azawad (CMA)","10/30/2017","&nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"YEMEN","Southern Transitional Council (STC)","11/15/2019","Aden&nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"UKRAINE","Mission of the President of Ukraine in the Autonomous Republic of Crimea","06/26/2023","24/2 Hrushevskogo Street Kyiv &nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"UKRAINE","Economic Security Council of Ukraine (ESCU)","11/30/2023","126/23 Zhylianska Street Kyiv &nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"MYANMAR (BURMA)","Arakan Rohingya National Alliance (ARNA)","10/21/2024","n/a - Global Umbrella Association London &nbsp;&nbsp;","","Independent Diplomat, Inc.","5860","04/03/2008"
"IRAN","National Council of Resistance of Iran","01/08/2019","15 Rue des Gords95430 Auvers-sur-Oise&nbsp;&nbsp;","","Robert G. Joseph","6626","01/08/2019"
"JAMAICA","The People's National Party","09/27/2022","89 Old Hope RoadKingston&nbsp;&nbsp;","","Walker-Huntington, Dahlia Ann","7172","09/27/2022"
"COTE D'IVOIRE (IVORY COAST)","Lansana Kouyate","09/26/2024","Riviera 3 Sideci Lot 277Commune De Cocody AbidjanAbidjan&nbsp;&nbsp;","","Sheinkopf, Hank","7469","09/26/2024"
"TURKEY","Republic of Turkey","06/29/2020","2525 Massachusetts, NWWashington&nbsp;&nbsp;20008","DC","Saltzman & Evinch, PLLC","6842","06/29/2020"
"CYPRUS","Government of the Republic of Cyprus","05/21/2019","Commissioner's Office for issues relating to Overseas Affairs56 Kyriakou Matsi Avenue  1082 Nicosia&nbsp;&nbsp;","","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019"
"GREECE","Hellenic Ministry of Foreign Affairs","12/05/2019","1st Vas. Sofias Av. 106 71Athens &nbsp;&nbsp;","","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019"
"BULGARIA","Prodaljavame Promianata (PP)","12/29/2023","23A Ivan Asen II Str. Sofia&nbsp;&nbsp;","","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019"
"IRAQ","Kurdistan Regional Government","01/05/2024","44001 Erbil Kurdistan Region &nbsp;&nbsp;","","Chartwell Strategy Group, LLC","6518","02/02/2018"
"PAKISTAN","Pakistan Peoples Party","12/28/2023","house No: 1, Street 85, Sector G 6/4 Islamabad, Fedral 12000&nbsp;&nbsp;","","Qureshi, Muhammad Safdar","7356","12/28/2023"
"SAUDI ARABIA","Embassy of the Kingdom of Saudi Arabia","11/13/2020","601 New Hampshire Avenue,  NWWashington&nbsp;&nbsp;20037","DC","Off Hill Strategies LLC","6889","11/13/2020"
"SAUDI ARABIA","Ministry of Energy of the Kingdom of Saudi Arabia","02/21/2018","Riyadh&nbsp;&nbsp;","","King & Spalding LLP","6501","12/21/2017"
"UKRAINE","National Security and Defense Council of Ukraine (NSDC)","06/15/2022","Petra Bolbochana St, 8Kyiv&nbsp;&nbsp;","","Quantum Technologies Laboratories, Inc.","7128","06/15/2022"
"NIGERIA","Aspiring candidates for presidency","08/11/2022","MaitaimaFCT, Abuja&nbsp;&nbsp;","","Mount Olives LLC","7158","08/11/2022"
"CANADA","Canadian Commercial Corporation","01/11/2010","1100 - 50 O'Connor StreetOttawa&nbsp;&nbsp;","","O'Brien Gentry & Scott, LLC","5971","01/11/2010"
"TAIWAN","Taipei Economic and Cultural Representative Office (TECRO)","01/12/2012","4201 Wisconsin Avenue, NWWashington&nbsp;&nbsp;20016","DC","Western Hemisphere Strategies, LLC","6086","01/12/2012"
"DOMINICAN REPUBLIC","Administrative Ministry of the Presidency, Dominican Republic through Vision Americas LLC","10/15/2020","Mexico Avenue and Doctor DelgadoSanto Domingo, National District&nbsp;&nbsp;","","Western Hemisphere Strategies, LLC","6086","01/12/2012"
"GUINEA","Union of Democratic Forces of Guinea (UFDG) and Cellou Dalein Diallo","05/17/2021","Carrefour Chinois a Bellevue, Ecole BP 30-36Conakry, Conakry&nbsp;&nbsp;","","Ambessa Solutions LLC","6962","05/17/2021"
"IRAQ","Kurdistan Regional Government","03/30/2018","60 Meter RoadErbil, Kurdistan&nbsp;&nbsp;","","PASS LLC","6538","03/30/2018"
"LUXEMBOURG","Luxembourg Trade & Investment Office in New York","03/05/2024","17 Beekman PlaceNew York&nbsp;&nbsp;10022","NY","Luxcore, Ltd.","7379","03/05/2024"
"JORDAN","Royal Hashemite Court of Jordan","08/10/2016","Amman&nbsp;&nbsp;","","West Wing Writers, LLC","6367","08/10/2016"
"JAPAN","Embassy of Japan","04/25/2023","2520 Massachusetts Ave NWWashington,&nbsp;&nbsp;","DC","West Wing Writers, LLC","6367","08/10/2016"
"JAPAN","Japan External Trade Organization","06/25/1963","Tokyo&nbsp;&nbsp;","","JETRO, New York","1643","06/25/1963"
"JAPAN","Kanagawa Prefectural Government","02/01/2006","1 Nihon Odori Naka-ku Yokohama-city, Kanagawa-Pref. 231-8588 &nbsp;&nbsp;","","JETRO, New York","1643","06/25/1963"
"HONDURAS","Embassy of the Republic of Honduras","12/30/2024","1220 19th Street NW Washington&nbsp;&nbsp;20036","DC","Connector International Inc.","7511","12/30/2024"
"ISRAEL","Government of Israel","07/27/1992","Jerusalem&nbsp;&nbsp;","","Sidley Austin LLP","3731","09/13/1985"
"CHINA","Hikvision USA, Inc.","10/14/2022","&nbsp;&nbsp;","","Sidley Austin LLP","3731","09/13/1985"
"JAPAN","Japan External Trade Organization (JETRO)","09/20/1971","Tokyo&nbsp;&nbsp;","","JETRO, Houston","2277","09/20/1971"
"POLAND","Ministry of Sports & Tourism of the Republic of Poland","02/04/1993","Warsaw&nbsp;&nbsp;","","Polish National Tourist Office, New York","4762","02/04/1993"
"CONGO DEMOCRATIC REPUBLIC OF THE","Parti des democrates pour le developpement du Congo (PDDCO)","04/28/2021","No 4 Mbudi Fleuve AvenueMont Ngafula, Kinshasa&nbsp;&nbsp;","","Abandelwa, Jacques","6950","04/28/2021"
"UNITED KINGDOM","WWF-UK (World Wide Fund for Nature)","07/04/2023","Rufford House, Brewery Road WokingSurrey&nbsp;&nbsp;","","Searby PLLC","7215","01/09/2023"
"POLAND","Polish Institute of International Affairs","07/07/2022","Warecka 1 AWarsaw&nbsp;&nbsp;","","Polish Institute of International Affairs - Washington DC Office LLC","7134","07/07/2022"
"THAILAND","Tourism Authority of Thailand","06/01/1965","Bangkok&nbsp;&nbsp;","","Tourism Authority of Thailand, New York","1897","06/01/1965"
"SRI LANKA","Ministry of Investment promotion Sri Lanka","07/22/2024","Ministry of Investment Promotion Level 25, West Tower, World Trade CenterColombo&nbsp;&nbsp;","","Sedera, Daraka Sanjeewa","7434","07/22/2024"
"UGANDA","Robert Kyagulanyi Ssentamu (AKA Bobi Wine)","09/12/2018","&nbsp;&nbsp;","","Vanguard Africa","6411","03/26/2017"
"TANZANIA","Tundu Lissu","02/25/2019","&nbsp;&nbsp;","","Vanguard Africa","6411","03/26/2017"
"CONGO DEMOCRATIC REPUBLIC OF THE","Congo, Democratic Republic of The","01/27/2022","3 Boulevard Triomphal, C/ Kasa VubuKinshasa&nbsp;&nbsp;","","Vanguard Africa","6411","03/26/2017"
"LIBERIA","Ministry of Foreign Affairs. Republic of Liberia","06/17/2024","Capitol Hill, Tubman Boulevard, Yekpi TownMonrovia&nbsp;&nbsp;","","Vanguard Africa","6411","03/26/2017"
"NIGER","Mr. Mohamed Bazoum","01/17/2025","Niamey&nbsp;&nbsp;","","Vanguard Africa","6411","03/26/2017"
"KOREA SOUTH","Korea National Tourism Corporation","10/01/1975","Seoul&nbsp;&nbsp;","","Korea National Tourism Organization, New Jersey","2614","10/04/1975"
"QATAR","International Media Office of the State of Qatar","05/13/2024","Diwan AnnexDoha&nbsp;&nbsp;","","Washington Media Group","7407","05/13/2024"
"SOUTH SUDAN","National Salvation Front (NAS)","12/16/2018","National Salvation Front (NAS)&nbsp;&nbsp;","","National Salvation Front (NAS) Mission USA","6614","12/16/2018"
"SPAIN","Government of Catalonia","03/18/2019","Placa Sant Jaume, 408002 Barcelona Catalunya&nbsp;&nbsp;","","Delegation of Catalonia to the United States of America","6651","03/18/2019"
"IRELAND","Tourism Ireland Limited","11/20/2003","345 Park Avenue,  New York 10154&nbsp;&nbsp;","NY","Tourism Ireland Limited","5594","11/20/2003"
"CANADA","Kongsberg Geopatial","08/16/2024","400-411 Legget DriveOttawa&nbsp;&nbsp;","","Connor, Gary Steven","7445","08/16/2024"
"LEBANON","Association of Banks in Lebanon","05/19/2020","Gouraud StreetBeirut&nbsp;&nbsp;","","Carlos Abadi","6825","05/19/2020"
"BAHAMAS","Bahamas Ministry of Tourism","01/27/1972","Nassau&nbsp;&nbsp;","","Bahamas Tourist Office","2310","01/27/1972"
"MEXICO","Government of United Mexican States","03/09/2009","Consultoria Juridica Plaza #20, Piso 6Col. Centro, Deleg. Cuauhtemoc C.P. 06010 D.F.Juarez&nbsp;&nbsp;","","Kuykendall, Gregory J., PC","5917","03/09/2009"
"IRAQ","The Embassy of the Republic of Iraq to the United States (through Valcour, LLC)","02/15/2024","1801 P Street NWWashington&nbsp;&nbsp;20036","DC","Bridgeway Advocacy, LLC","7374","02/15/2024"
"DOMINICA","Commonwealth of Dominica, Office of Ministry of Finance, Industry and Trade","10/12/1999","Rosseau&nbsp;&nbsp;","","Commonwealth of Dominica Maritime Registry, Inc.","5334","10/12/1999"
"VENEZUELA","Ad Hoc Board of Petroleos de Venezuela, S.A. (""PDVSA Ad Hoc Board"")","10/06/2021","&nbsp;&nbsp;","","Horacio Francisco Medina Herrera","7023","10/06/2021"
"UNITED KINGDOM","City of London Corporation","05/15/2024","PO box 270, GuildhallLondon&nbsp;&nbsp;","","City of London USA LLC","7410","05/15/2024"
"JAPAN","Japanese National Tourism Organization through All Nippon Airways","12/06/2021","&nbsp;&nbsp;","","Harris, Waheeda","7053","12/06/2021"
"KAZAKHSTAN","Embassy of Kazakhstan","10/01/2024","1401 16th Street, NW Washington&nbsp;&nbsp;20036","DC","Venn Strategies","7472","10/01/2024"
"ARUBA","Government of Aruba","12/29/1978","Oranjestad&nbsp;&nbsp;","","Aruba Tourism Authority","2987","12/29/1978"
"JAPAN","Okinawa Prefecture","06/03/2015","1101 Connecticut Avenue, NWSuite 450Washington&nbsp;&nbsp;20036","DC","Mercury Public Affairs, LLC","6170","05/14/2013"
"JAPAN","Consulate General of Japan","07/11/2018","299 Park Avenue, 19th FloorNew York&nbsp;&nbsp;10171","NY","Mercury Public Affairs, LLC","6170","05/14/2013"
"CHINA","Hikvision USA Inc.","08/16/2018","18639 Railroad StreetCity of Industry&nbsp;&nbsp;91748","CA","Mercury Public Affairs, LLC","6170","05/14/2013"
"QATAR","Embassy of the State of Qatar","12/10/2019","2555 M Street NWWashington&nbsp;&nbsp;20037","DC","Mercury Public Affairs, LLC","6170","05/14/2013"
"CHINA","JinkoSolar (U.S.) Inc.","12/12/2020","595 Market StreetSuite 2200San Francisco&nbsp;&nbsp;94105","CA","Mercury Public Affairs, LLC","6170","05/14/2013"
"UKRAINE","GloBee International Agency for Regional Development (""GloBee"")","03/16/2022","5 Heroes of Nebesna Sotnya Square, ap 23Kharkiv&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"PAPUA NEW GUINEA","National Gas Corp. Ltd.","06/30/2023","Kada Gura Commercial CenterHarbour City Port Moresby&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"CONGO DEMOCRATIC REPUBLIC OF THE","Gecamines SA","04/19/2024","419 Boulevard Kamanyola Commune de Lubumbashi&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"KOREA SOUTH","Embassy of the Republic of Korea in the USA","11/26/2024","2450 Massachusetts Avenue, NW Washington&nbsp;&nbsp;20008","DC","Mercury Public Affairs, LLC","6170","05/14/2013"
"CANADA","Stand With Ukraine","12/13/2024","22 St. Clair Ave E.,  Suite 1500Toronto&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"GEORGIA","American Georgia Business Council","12/27/2024","1050 Connecticut Ave, Suite 500Washington&nbsp;&nbsp;20036","DC","Mercury Public Affairs, LLC","6170","05/14/2013"
"UKRAINE","Temp-3000","01/24/2025","Street 28th of June, Building 44, Office 54Chernivtsi&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"NORTH MACEDONIA","ATS Group DOOEL Skopje","02/21/2025","St. 1550 No. 17 Industrial Zone VizbegovoSkopje&nbsp;&nbsp;","","Mercury Public Affairs, LLC","6170","05/14/2013"
"ECUADOR","Embassy of Ecuador","03/10/2025","2535 15th Street NW Washington&nbsp;&nbsp;20009","DC","Mercury Public Affairs, LLC","6170","05/14/2013"
"PAKISTAN","Pakistan Tehreek-e-Insaaf (PTI)","05/11/2023","PTI Secretariat G-8 Islamabad  &nbsp;&nbsp;","","Muhamad Shahbaz Shabbir","7270","05/11/2023"
"QATAR","Essa Abdulla Al-Malki","08/21/2024","Permanent Mission of the State of Qatar to ICAO700 Rue de la Gauchetiere O, STE 2450 Montreal&nbsp;&nbsp;","","The Aloft Group, LLC","7447","08/21/2024"
"POLAND","World Anew Foundation","02/25/2025","UL. Swarda 2, 00-105 Warszawa&nbsp;&nbsp;","","Sweeney & Associates, LLC","7547","02/25/2025"
"ZIMBABWE","African Union Mission to the USA","12/28/2024","1640 Wisconsin Avenue, NW  Washington&nbsp;&nbsp;20007","DC","Ford and London Global Strategies","7510","12/28/2024"
"SAUDI ARABIA","The Kingdom of Saudi Arabia (through Qorvis Holding Inc.)","03/18/2020","601 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Certus Insights, LLC","6801","03/18/2020"
"TAIWAN","Taiwan External Trade Development Council (TAITRA)","02/28/1985","&nbsp;&nbsp;","","Taiwan Trade Center New York Inc.","3652","02/28/1985"
"CAYMAN ISLANDS","Cayman Islands Ministry of Financial Services, Commerce & Environment","02/04/2021","133 Elgin AvenueGrand Cayman KYI&nbsp;&nbsp;","","Hill and Knowlton Strategies, LLC","3301","11/10/1981"
"MEXICO","'PETRÓLEOS MEXICANOS (""PEMEX""), THROUGH PEMEX DEER PARK DBA DEER PARK","09/28/2022","Avenida Marina Nacional, No. 329 Colonia Veronica AnzuresCiudad de Mexico&nbsp;&nbsp;","","Hill and Knowlton Strategies, LLC","3301","11/10/1981"
"SWEDEN","V.S. VisitSweden AE (VisitSweden) through Hill+Knowlton Strategies Stockholm","12/12/2023","Slussplan 9 Stockholm &nbsp;&nbsp;","","Hill and Knowlton Strategies, LLC","3301","11/10/1981"
"SAUDI ARABIA","Ministry of Environment, Water and Agriculture of The Kingdom of Saudi Arabia through Gulf Hill and Knowlton for Advertising Company Limited","09/20/2024","Imam Adbullah bin Faisal bin Turki RoadAl-Murabba Riyadh&nbsp;&nbsp;","","Hill and Knowlton Strategies, LLC","3301","11/10/1981"
"SOMALIA","President of Galmudug State of Somalia, Ahmed Abdi Karie","08/19/2023","DhuusamareebGalmudug&nbsp;&nbsp;","","Khalif, Farhio Mohamud","7314","08/19/2023"
"IRELAND","Sinn Fein","04/03/1995","Antrim&nbsp;&nbsp;","","Friends of Sinn Fein, Inc.","5006","04/03/1995"
"INTERNATIONAL","League of Arab States","08/15/1966","Washington&nbsp;&nbsp;","DC","Arab Information Center","876","03/03/1955"
"SAUDI ARABIA","Ministry of Energy, Industry and Mineral Resources of the Kingdom of Saudi Arabia","02/20/2018","Box 247Riyadh 11191&nbsp;&nbsp;","","Law Office of David B. Kultgen","6527","02/20/2018"
"AUSTRALIA","Gold Corporation","09/09/2022","310 Hay StreetEast Perth, Western Australia&nbsp;&nbsp;","","Reevemark LLC","7167","09/09/2022"
"ETHIOPIA","Ethiopian People's Revolutionary Party","04/07/1993","Paris&nbsp;&nbsp;","","Ethiopian People's Revolutionary Party","4789","04/07/1993"
"BERMUDA","Bermuda Tourism Authority","08/21/2014","22 Church Street Hamilton HM 11&nbsp;&nbsp;","","Bermuda Tourism Authority","430","01/30/1947"
"BOSNIA & HERZEGOVINA","Republike Srpska","12/26/2023","1 Trg Republike Srpske Banja LukaRepublike Srpske&nbsp;&nbsp;","","RS Office For Cooperation, Trade and Investment LLC","7354","12/26/2023"
"KAZAKHSTAN","Ministry of Justice of the Republic of Kazakhstan","09/10/2024","Mangilik El Street, Bid. 8, House of MinistriesEntrance 13   Astana&nbsp;&nbsp;","","Sheppard Mullin Richter & Hampton LLP","7461","09/10/2024"
